sep=,
Title,Artist,Type,Confidence_Score,Source_File
"Everything IAm","Kanye West, DJ Premier",Recommended,4.481,"20260429114121_2963_1254_14.00.00.jpg"
"What Did I Miss?","Drake",Recommended,4.492,"20260429114121_2963_1254_14.00.00.jpg"
"530","¥$, Kanye West, Ty Dolla $ign",Recommended,4.566,"20260429114121_2963_1254_14.00.00.jpg"
"wrong faces.","Brent Faiyaz",Recommended,4.481,"20260429114121_2963_1254_14.00.00.jpg"
"Slow Jamz","Twista, Kanye West, Jamie Foxx",Recommended,4.558,"20260429114121_2963_1254_14.00.00.jpg"
"EARFQUAKE","Tyler, The Creator",Recommended,4.535,"20260429114121_2963_1254_14.00.00.jpg"
"Father Stretch My Hands Pt.1","Kanye West",Recommended,4.484,"20260429114121_2963_1254_14.00.00.jpg"
"8am in Charlotte","Drake",Recommended,4.584,"20260429114121_2963_1254_14.00.00.jpg"
"Never See Me Again","K_nYe",Recommended,4.482,"20260429114121_2963_1254_14.00.00.jpg"
"PREACHER MAN","Ye, Kanye West",Organic,N/A,"20260429114121_2963_1254_14.00.00.jpg"
"Hotel California","Joji",Recommended,4.462,"20260429114426_2968_1254_14.00.00.jpg"
"Die On This Hill","SIENNA SPIRO",Recommended,4.503,"20260429114426_2968_1254_14.00.00.jpg"
"Thought I Saw Your Face Today","She &Him",Recommended,4.479,"20260429114426_2968_1254_14.00.00.jpg"
"Loose","Daniel Caesar",Recommended,4.456,"20260429114426_2968_1254_14.00.00.jpg"
"Chest Pain (I Love)","Malcolm Todd",Recommended,4.421,"20260429114426_2968_1254_14.00.00.jpg"
"Raindance (feat. Tems)","Dave, Tems",Recommended,4.474,"20260429114426_2968_1254_14.00.00.jpg"
"Past Won't Leave My Bed","Joji",Recommended,4.461,"20260429114426_2968_1254_14.00.00.jpg"
"SUPERPOSITION (feat. John Mayer)","Daniel Caesar, John Mayer",Recommended,4.48,"20260429114426_2968_1254_14.00.00.jpg"
"Who Knows","Daniel Caesar",Organic,N/A,"20260429114426_2968_1254_14.00.00.jpg"
"Blessed","Daniel Caesar",Recommended,4.236,"20260429114916_2975_1254.jpg"
"Sparks","Coldplay",Recommended,4.236,"20260429114916_2975_1254.jpg"
"Cayendo (Side A- Acoustic)","Frank Ocean",Recommended,4.248,"20260429114916_2975_1254.jpg"
"You & I (with Zack Tabudlo)","Diego Gonzalez, Zack Tabudlo",Recommended,4.284,"20260429114916_2975_1254.jpg"
"moonlight","Dhruv",Recommended,4.352,"20260429114916_2975_1254.jpg"
"Self Control","Frank Ocean",Recommended,4.242,"20260429114916_2975_1254.jpg"
"Here With Me","d4vd",Recommended,4.242,"20260429114916_2975_1254.jpg"
"Pretty Girl","Clairo",Recommended,4.22,"20260429114916_2975_1254.jpg"
"K.","Cigarettes After Sex",Recommended,4.26,"20260429114916_2975_1254.jpg"
"Fall in Love with You.","Montell Fish",Recommended,4.253,"20260429114916_2975_1254.jpg"
"Out of Time","The Weeknd",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"Chicago Freestyle (feat. Giveon)","Drake, GIVEON",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"The Man Who Can't Be Moved","The Script",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"YUKON","Justin Bieber",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"Unforgettable","French Montana, Swae Lee",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"Tiramisu","Don Toliver",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"Save Your Tears","The Weeknd",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"SHE DID IT AGAIN (feat. Zara Larsson)","Tyla, Zara Larsson",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"Baby","Justin Bieber, Ludacris",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
"WAIT FOR U (feat. Drake & Tems)","Future, Drake, Tems",Organic,N/A,"20260429114946_2978_1254_14.00.00.jpg"
