sep=,
Title,Artist,Type,Confidence_Score,Source_File
"fake smile","Ariana Grande",Recommended,4.542,"IMG_7345.png"
"West Coast","Lana Del Rey",Recommended,4.464,"IMG_7345.png"
"Reminder","The Weeknd",Recommended,4.563,"IMG_7345.png"
"After Midnight","Chappell Roan",Organic,N/A,"IMG_7345.png"
"Lavender Haze","Taylor Swift",Organic,N/A,"IMG_7345.png"
"Busy Woman","Sabrina Carpenter",Organic,N/A,"IMG_7345.png"
"Bad Habits","Ed Sheeran",Organic,N/A,"IMG_7345.png"
"Saturn","SZA",Organic,N/A,"IMG_7345.png"
"Light Switch","Charlie Puth",Organic,N/A,"IMG_7345.png"
"Paint The Town Red","Doja Cat",Organic,N/A,"IMG_7345.png"
"HOTTO GO!","Chappell Roan",Organic,N/A,"IMG_7345.png"
"Treacherous (Taylor's Version)","Taylor Swift",Recommended,4.449,"IMG_7346.png"
"Boom Clap","Charli xcx",Recommended,4.454,"IMG_7346.png"
"One Right Now (with The Weeknd)","Post Malone, The Weeknd",Recommended,4.555,"IMG_7346.png"
"so american","Olivia Rodrigo",Recommended,4.552,"IMG_7346.png"
"my head","Ariana Grande",Organic,N/A,"IMG_7346.png"
"TALK ME DOWN","Troye Sivan",Organic,N/A,"IMG_7346.png"
"Helen of Troy - Bonus Track","Lorde",Organic,N/A,"IMG_7346.png"
"Future Nostalgia","Dua Lipa",Organic,N/A,"IMG_7346.png"
"Save Your Tears","The Weeknd",Organic,N/A,"IMG_7346.png"
"Cinnamon Girl","Lana Del Rey",Organic,N/A,"IMG_7346.png"
"Water Under the Bridge","Adele",Recommended,4.452,"IMG_7347.png"
"Homemade Dynamite","Lorde",Recommended,4.549,"IMG_7347.png"
"God Knows I Tried","Lana Del Rey",Recommended,4.475,"IMG_7347.png"
"The Man","Taylor Swift",Organic,N/A,"IMG_7347.png"
"Shape of You","Ed Sheeran",Organic,N/A,"IMG_7347.png"
"360","Charli xcx",Organic,N/A,"IMG_7347.png"
"Casual","Chappell Roan",Organic,N/A,"IMG_7347.png"
"If It Ain't Me","Dua Lipa",Organic,N/A,"IMG_7347.png"
"Up All Night","Charlie Puth",Organic,N/A,"IMG_7347.png"
"traitor","Olivia Rodrigo",Recommended,4.461,"IMG_7348.png"
"Back To You- From 13 Reasons Why","Selena Gomez",Recommended,4.459,"IMG_7348.png"
"Party Monster","The Weeknd",Recommended,4.554,"IMG_7348.png"
"imgonnagetyouback","Taylor Swift",Organic,N/A,"IMG_7348.png"
"Life Goes On","Ed Sheeran",Organic,N/A,"IMG_7348.png"
"Leave Before You Love Me (with Jonas..","Marshmello, Jonas Brothers",Organic,N/A,"IMG_7348.png"
"What Was That","Lorde",Organic,N/A,"IMG_7348.png"
"no tears left to cry","Ariana Grande",Organic,N/A,"IMG_7348.png"
"California","Lana Del Rey",Organic,N/A,"IMG_7348.png"
"Watermelon Sugar","Harry Styles",Organic,N/A,"IMG_7348.png"
"Death By A Thousand Cuts","Taylor Swift",Recommended,4.256,"IMG_7349.png"
"Been You","Justin Bieber",Recommended,4.464,"IMG_7349.png"
"Diet Pepsi","Addison Rae",Recommended,4.469,"IMG_7349.png"
"She Will Be Loved - Radio Mix","Maroon5",Recommended,4.449,"IMG_7349.png"
"Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen",Organic,N/A,"IMG_7349.png"
"American Town","Ed Sheeran",Organic,N/A,"IMG_7349.png"
"What A Heavenly Way To Die","Troye Sivan",Organic,N/A,"IMG_7349.png"
"Dancing With Your Ghost","Sasha Alex Sloan",Organic,N/A,"IMG_7349.png"
"Die For You - Remix","The Weeknd, Ariana Grande",Organic,N/A,"IMG_7349.png"
"Summertime Sadness","Lana Del Rey",Organic,N/A,"IMG_7349.png"
"The Joker And The Queen (feat. Taylor...","Ed Sheeran, Taylor Swift",Recommended,4.483,"IMG_7350.png"
"she's all i wanna be","Tate McRae",Recommended,4.481,"IMG_7350.png"
"Colors","Halsey",Recommended,4.449,"IMG_7350.png"
"The Smallest Man Who Ever Lived","Taylor Swift",Organic,N/A,"IMG_7350.png"
"Satellite","Harry Styles",Organic,N/A,"IMG_7350.png"
"Really Want to Stay at Your House","Rosa Walton, Hallie Coggins",Organic,N/A,"IMG_7350.png"
"My My My!","Troye Sivan",Organic,N/A,"IMG_7350.png"
"STAR WALKIN' (League of Legends W...","Lil Nas X",Organic,N/A,"IMG_7350.png"
"Secrets","The Weeknd",Organic,N/A,"IMG_7350.png"
"Young And Beautiful","Lana Del Rey",Organic,N/A,"IMG_7350.png"
"How Do You Sleep?","Sam Smith",Recommended,4.155,"IMG_7351.png"
"Fine Line","Harry Styles",Recommended,4.435,"IMG_7351.png"
"Call Out My Name","The Weeknd",Recommended,4.462,"IMG_7351.png"
"Know Places (Taylor's Version)","Taylor Swift",Organic,N/A,"IMG_7351.png"
"Stoned - Bonus Track","Ed Sheeran",Organic,N/A,"IMG_7351.png"
"Maniac","Conan Gray",Organic,N/A,"IMG_7351.png"
"Boy Problems","Carly Rae Jepsen",Organic,N/A,"IMG_7351.png"
"Something In The Way You Move","Ellie Goulding",Organic,N/A,"IMG_7351.png"
"Heat Waves","Glass Animals",Organic,N/A,"IMG_7351.png"
"Mariners Apartment Complex","Lana Del Rey",Organic,N/A,"IMG_7351.png"
