sep=,
Title,Artist,Type,Confidence_Score,Source_File
"Higher (feat. Lukas Graham)","Pink Cafe, Brandon Beal, Lukas Graham",Organic,N/A,"20260429115131_2382_328.jpg"
"Believe I Can Fly","Ronan Keating",Organic,N/A,"20260429115131_2382_328.jpg"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars",Organic,N/A,"20260429115131_2382_328.jpg"
"Too Good At Goodbyes","Sam Smith",Organic,N/A,"20260429115131_2382_328.jpg"
"Stupid Pop Song","陶喆",Organic,N/A,"20260429115131_2382_328.jpg"
"一點點","陶喆",Organic,N/A,"20260429115131_2382_328.jpg"
"Gimme! Gimme! Gimme! (A Man After...","ABBA",Organic,N/A,"20260429115131_2382_328.jpg"
"和你","余佳運",Organic,N/A,"20260429115131_2382_328.jpg"
"Love Song","方大同",Organic,N/A,"20260429115131_2382_328.jpg"
"Teeth","5 Seconds of Summer",Organic,N/A,"20260429115131_2382_328.jpg"
"Baby","Justin Bieber, Ludacris",Organic,N/A,"20260429115131_2382_328.jpg"
"夜曲","周傑倫",Recommended,4.478,"20260429115404_2388_328.jpg"
"愛錯","王力宏",Recommended,4.434,"20260429115404_2388_328.jpg"
"Stitches","Shawn Mendes",Recommended,4.495,"20260429115404_2388_328.jpg"
"This Love","Maroon5",Organic,N/A,"20260429115404_2388_328.jpg"
"Call Me Maybe","Carly Rae Jepsen",Organic,N/A,"20260429115404_2388_328.jpg"
"春風吹","方大同",Organic,N/A,"20260429115404_2388_328.jpg"
"瘦子","丁世光",Organic,N/A,"20260429115404_2388_328.jpg"
"Count on Me","Bruno Mars",Organic,N/A,"20260429115404_2388_328.jpg"
"Shut Up and Dance","WALKTHEMOON",Organic,N/A,"20260429115404_2388_328.jpg"
"Payphone","Maroon 5, Wiz Khalifa",Recommended,4.456,"20260429115538_2393_328.jpg"
"因為你","方大同",Recommended,4.445,"20260429115538_2393_328.jpg"
"Shut Up and Dance","WALKTHE MOON",Organic,N/A,"20260429115538_2393_328.jpg"
"We Found Love","Rihanna, Calvin Harris",Organic,N/A,"20260429115538_2393_328.jpg"
"髮如雪","周傑倫",Organic,N/A,"20260429115538_2393_328.jpg"
"wanted you","INA",Organic,N/A,"20260429115538_2393_328.jpg"
"My Universe","Coldplay, BTS",Organic,N/A,"20260429115538_2393_328.jpg"
"心跳","王力宏",Organic,N/A,"20260429115538_2393_328.jpg"
"Treasure","Bruno Mars",Recommended,4.583,"20260429115802_2396_328_13.12.04.jpg"
"Higher (feat.Lukas Graham)","Pink Cafe, Brandon Beal, Lukas Graham",Organic,N/A,"20260429115802_2396_328_13.12.04.jpg"
"Sucker for You","Matt Terry",Organic,N/A,"20260429115802_2396_328_13.12.04.jpg"
"What Makes You Beautiful","One Direction",Organic,N/A,"20260429115802_2396_328_13.12.04.jpg"
"Treat You Better","Shawn Mendes",Recommended,4.491,"20260429120435_2401_328_13.12.04.png"
"Moves Like Jagger - Studio Recording...","Maroon 5, Christina Aguilera",Recommended,4.451,"20260429120435_2401_328_13.12.04.png"
"Say a lil something","蕭敬騰",Recommended,4.295,"20260429120435_2401_328_13.12.04.png"
"Locked out of Heaven","Bruno Mars",Recommended,4.482,"20260429120435_2401_328_13.12.04.png"
"Three Kingdom Love","TANK呂建忠",Recommended,4.488,"20260429120435_2401_328_13.12.04.png"
"Girls Like You (feat. Cardi B) - Cardi B V..","Maroon 5, Cardi B",Recommended,4.58,"20260429120435_2401_328_13.12.04.png"
"Country Girl","Wildflowers, Easton",Organic,N/A,"20260429120435_2401_328_13.12.04.png"
"2 days into college","Aimee Carty",Organic,N/A,"20260429120435_2401_328_13.12.04.png"
"Counting Stars","OneRepublic",Organic,N/A,"20260429120435_2401_328_13.12.04.png"
"The Monster","Eminem, Rihanna",Organic,N/A,"20260429120435_2401_328_13.12.04.png"
"Forget Me","Lewis Capaldi",Recommended,4.453,"20260429120436_2402_328_13.12.04.png"
"One More Night","Maroon5",Recommended,4.472,"20260429120436_2402_328_13.12.04.png"
"Got You","Matt Terry",Recommended,4.461,"20260429120436_2402_328_13.12.04.png"
"Shout Out to My Ex","Little Mix",Organic,N/A,"20260429120436_2402_328_13.12.04.png"
"Umbrella","Rihanna, JAY-Z",Organic,N/A,"20260429120436_2402_328_13.12.04.png"
"Before You Go","Lewis Capaldi",Organic,N/A,"20260429120436_2402_328_13.12.04.png"
"Style","Taylor Swift",Organic,N/A,"20260429120436_2402_328_13.12.04.png"
"Love The Way You Lie","Eminem, Rihanna",Organic,N/A,"20260429120436_2402_328_13.12.04.png"
"Hymn for the Weekend","Coldplay",Recommended,4.307,"20260429120809_2411_328.png"
"Hey Mamma","Sunstroke Project",Organic,N/A,"20260429120809_2411_328.png"
"Blank Space","Taylor Swift",Organic,N/A,"20260429120809_2411_328.png"
