sep=,
Title,Artist,Type,Confidence_Score,Source_File
"fake smile","Ariana Grande",Recommended,4.542,"IMG_7345.png"
"West Coast","Lana Del Rey",Recommended,4.464,"IMG_7345.png"
"Reminder","The Weeknd",Recommended,4.563,"IMG_7345.png"
"Treacherous (Taylor's Version)","Taylor Swift",Recommended,4.449,"IMG_7346.png"
"Boom Clap","Charli xcx",Recommended,4.454,"IMG_7346.png"
"One Right Now (with The Weeknd)","Post Malone, The Weeknd",Recommended,4.555,"IMG_7346.png"
"so american","Olivia Rodrigo",Recommended,4.552,"IMG_7346.png"
"Water Under the Bridge","Adele",Recommended,4.452,"IMG_7347.png"
"Homemade Dynamite","Lorde",Recommended,4.549,"IMG_7347.png"
"God Knows I Tried","Lana Del Rey",Recommended,4.475,"IMG_7347.png"
"traitor","Olivia Rodrigo",Recommended,4.461,"IMG_7348.png"
"Back To You- From 13 Reasons Why","Selena Gomez",Recommended,4.459,"IMG_7348.png"
"Party Monster","The Weeknd",Recommended,4.554,"IMG_7348.png"
"Death By A Thousand Cuts","Taylor Swift",Recommended,4.256,"IMG_7349.png"
"Been You","Justin Bieber",Recommended,4.464,"IMG_7349.png"
"Diet Pepsi","Addison Rae",Recommended,4.469,"IMG_7349.png"
"She Will Be Loved - Radio Mix","Maroon5",Recommended,4.449,"IMG_7349.png"
"The Joker And The Queen (feat. Taylor...","Ed Sheeran, Taylor Swift",Recommended,4.483,"IMG_7350.png"
"she's all i wanna be","Tate McRae",Recommended,4.481,"IMG_7350.png"
"Colors","Halsey",Recommended,4.449,"IMG_7350.png"
"How Do You Sleep?","Sam Smith",Recommended,4.155,"IMG_7351.png"
"Fine Line","Harry Styles",Recommended,4.435,"IMG_7351.png"
"Call Out My Name","The Weeknd",Recommended,4.462,"IMG_7351.png"
